Field,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
All fields,"48,777","49,552","48,029","48,911","50,944","52,704","53,992","54,901","54,862","54,664"
Life sciences,"11,086","11,403","11,319","11,535","11,964","12,208","12,484","12,499","12,554","12,592"
Agricultural sciences and natural resources,"1,198","1,283","1,100","1,206","1,255","1,324","1,338","1,434","1,381","1,606"
Agricultural economics ,111,116,118,106,88,107,96,101,113,144
Agricultural and horticultural plant breeding ,28,24,31,23,31,21,39,43,61,54
Agricultural animal breeding ,3,12,7,7,6,8,na,na,na,na
Agronomy and crop science ,68,77,69,54,73,86,80,81,82,102
Animal nutrition ,41,34,34,48,57,54,50,40,42,27
"Animal science, poultry or avian ",18,17,12,25,22,23,25,31,21,24
"Animal sciences, other ",77,74,54,69,75,85,103,90,83,105
Environmental science ,182,201,155,195,182,204,213,182,193,222
Fishing and fisheries sciences and management ,52,67,34,59,51,53,52,60,47,69
Food science ,96,110,100,73,108,105,93,125,123,125
"Food science and technology, other ",41,30,37,39,35,48,39,47,40,52
Forest sciences and biology ,32,43,23,26,25,19,22,37,15,89
"Forest management, forest resources management ",44,52,41,34,29,44,28,36,35,26
"Forestry, other ",17,26,17,35,29,26,20,22,29,38
Horticulture science ,50,55,42,48,40,41,51,50,32,42
Natural resource and environmental policy ,na,na,na,na,na,na,35,56,68,54
Natural resources and conservation ,78,84,88,100,99,92,70,87,72,63
Natural resources and environmental economics (agricultural sciences) ,na,na,na,na,31,22,28,39,23,26
"Plant pathology and phytopathology, agricultural ",59,61,56,53,71,74,74,57,73,108
"Plant sciences, other ",39,60,49,51,77,67,78,95,52,62
"Soil chemistry, microbiology ",25,18,20,34,15,16,20,17,23,43
"Soil sciences, other ",67,49,39,39,37,51,45,54,38,52
"Wildlife, range management ",55,34,48,50,39,41,29,32,14,19
"Wood science, pulp and paper technology ",2,17,8,15,16,8,4,15,8,12
"Agricultural sciences and natural resources, generala",8,8,2,9,8,9,25,21,73,34
"Agricultural sciences and natural resources, otherb",5,14,16,14,11,20,19,16,21,14
Biological and biomedical sciences,"7,797","8,025","8,046","8,152","8,322","8,355","8,868","8,788","8,873","8,477"
Anatomy,25,15,25,25,23,15,15,24,21,9
Bacteriology,22,20,24,22,23,28,25,22,18,13
Biochemistry (biological sciences),899,858,861,867,847,827,820,749,832,815
Bioinformatics,147,175,123,140,145,166,183,174,194,183
Biomedical sciences,268,300,287,311,366,401,438,417,330,341
Biometrics and biostatistics,122,115,127,137,174,145,165,171,198,216
Biophysics (biological sciences),167,195,171,192,193,179,186,181,165,208
Biotechnology,32,26,22,33,54,39,45,38,36,33
Botany and plant biology,105,113,110,110,110,91,93,97,112,100
Cancer biology,289,273,300,396,381,379,455,454,437,364
"Cell, cellular biology, and histology",376,354,361,379,376,318,335,321,259,234
Computational biology,na,na,69,65,94,115,117,107,134,147
Developmental biology and embryology,185,185,193,205,174,197,198,187,162,130
Ecology,439,456,431,404,415,468,449,453,482,432
Endocrinology,22,33,23,32,26,39,26,22,11,21
Entomology,119,131,122,113,120,118,112,109,127,129
Environmental toxicologyc,na,na,39,30,45,33,49,35,45,64
Epidemiology,305,273,324,314,365,353,292,378,343,351
Evolutionary biology,178,215,214,213,203,209,215,210,200,224
